,Month,All items,Food,Food at home,Food away from home,Energy,Electricity,Gasoline (all types),All items less food and energy,Furniture and bedding,Apparel,Used cars and trucks,Medical care,Sporting goods,Public transportation
0,1980-01-01,13.9,8.9,7.8,11.3,41.5,11.1,60.1,12.0,7.1,6.5,1.9,10.0,8.9,19.4
1,1980-02-01,14.2,7.3,5.9,10.7,46.6,13.8,67.9,12.0,7.6,6.4,1.0,10.8,9.6,20.3
2,1980-03-01,14.8,7.4,5.9,10.4,47.1,14.1,68.1,12.5,8.6,7.0,0.0,11.2,10.0,21.3
3,1980-04-01,14.7,7.2,5.9,10.3,43.5,14.8,59.7,13.0,8.2,7.2,-1.7,11.5,9.3,22.5
4,1980-05-01,14.4,6.8,5.6,9.8,39.3,15.8,51.7,13.3,8.5,6.8,-2.9,11.6,8.5,24.0
5,1980-06-01,14.4,7.1,5.8,9.9,33.5,17.2,42.0,13.6,9.0,6.9,-4.0,11.4,8.5,24.8
6,1980-07-01,13.1,7.6,6.9,9.4,29.1,17.6,34.5,12.4,9.1,7.2,-2.7,11.3,8.7,27.0
7,1980-08-01,12.9,9.6,9.5,9.4,25.1,17.1,28.8,11.8,8.7,7.4,-0.3,11.0,9.5,30.1
8,1980-09-01,12.6,10.1,10.4,9.6,21.7,16.7,23.9,12.0,9.8,7.3,5.8,11.1,8.8,32.0
9,1980-10-01,12.8,10.1,10.4,9.5,19.6,16.1,22.1,12.3,8.5,7.6,11.4,11.0,9.6,30.7
10,1980-11-01,12.6,10.6,11.1,9.6,19.0,16.7,20.7,12.1,7.9,7.7,16.3,10.7,9.9,27.9
11,1980-12-01,12.5,10.2,10.5,9.6,18.0,16.8,18.9,12.2,7.8,6.8,18.2,9.9,9.5,25.5
12,1981-01-01,11.8,10.1,10.4,9.8,16.5,17.8,15.0,11.4,6.9,5.8,18.6,10.1,8.5,26.4
13,1981-02-01,11.4,10.5,10.7,10.3,16.4,16.0,14.8,10.9,7.5,5.9,20.0,9.6,7.6,25.6
14,1981-03-01,10.5,10.1,10.3,9.7,15.2,15.0,13.4,10.0,6.6,5.2,20.5,9.4,7.6,26.5
15,1981-04-01,10.0,9.5,9.5,9.6,14.3,14.8,11.9,9.5,6.7,5.1,21.6,9.5,7.4,26.0
16,1981-05-01,9.8,8.9,8.5,9.3,13.3,13.6,10.9,9.5,6.4,5.0,22.9,9.7,7.4,24.4
17,1981-06-01,9.6,8.5,8.4,9.0,12.7,13.3,10.2,9.4,5.7,4.9,26.0,10.2,6.9,25.6
18,1981-07-01,10.8,8.4,7.9,9.2,12.2,14.5,9.6,11.1,6.8,4.9,27.9,10.8,6.2,29.0
19,1981-08-01,10.8,7.1,6.4,9.0,12.3,16.2,9.5,11.6,6.6,4.8,29.3,11.5,5.2,25.0
20,1981-09-01,11.0,6.4,5.5,8.6,12.7,15.2,10.3,11.8,6.1,4.6,27.1,11.4,5.1,21.5
21,1981-10-01,10.1,5.8,4.7,8.4,12.8,14.2,10.6,10.9,6.5,4.1,24.9,11.7,5.3,20.9
22,1981-11-01,9.6,4.8,3.4,8.0,13.2,15.4,10.5,10.2,6.4,3.5,22.0,12.3,6.0,20.3
23,1981-12-01,8.9,4.3,2.9,7.1,11.9,14.4,9.4,9.5,6.4,3.5,20.2,12.5,5.8,19.3
24,1982-01-01,8.4,4.7,3.6,6.7,9.0,14.8,5.4,9.3,6.5,3.5,19.8,12.1,4.9,16.9
25,1982-02-01,7.6,4.7,4.0,5.7,2.9,13.1,-2.9,9.1,5.1,3.2,19.4,11.8,5.5,17.0
26,1982-03-01,6.8,3.9,3.1,5.7,-0.7,14.4,-8.7,8.8,5.2,3.2,19.3,12.0,4.9,14.5
27,1982-04-01,6.5,4.1,3.4,5.3,-3.5,12.8,-12.5,8.9,5.4,2.9,19.3,12.1,4.2,14.2
28,1982-05-01,6.7,4.7,4.6,5.4,-2.2,11.7,-11.1,8.7,5.3,2.7,18.9,12.0,4.3,14.8
29,1982-06-01,7.1,5.3,5.2,5.3,1.0,10.4,-5.4,8.6,4.8,2.7,18.0,11.9,4.7,13.7
30,1982-07-01,6.4,4.5,4.1,5.1,2.1,8.0,-3.1,7.6,4.0,2.7,16.3,11.7,4.6,7.4
31,1982-08-01,5.9,3.6,2.9,5.1,2.0,7.0,-3.2,7.1,2.4,2.4,14.1,11.3,4.7,6.6
32,1982-09-01,5.0,3.5,2.7,5.1,1.7,7.3,-4.1,5.9,2.7,2.3,11.6,11.4,4.3,7.3
33,1982-10-01,5.1,3.4,2.7,4.9,2.4,7.8,-4.7,5.9,3.8,2.2,10.2,11.2,4.7,7.7
34,1982-11-01,4.6,3.4,2.7,4.7,2.0,6.7,-5.3,5.3,2.3,2.2,10.3,10.9,1.4,6.8
35,1982-12-01,3.8,3.1,2.3,5.1,1.3,6.5,-6.7,4.5,2.7,1.6,10.9,11.0,1.2,6.4
36,1983-01-01,3.7,2.5,1.4,4.9,-0.4,4.1,-8.4,4.7,2.1,2.0,10.8,11.0,1.6,6.7
37,1983-02-01,3.5,2.0,0.8,4.7,-1.5,4.4,-10.0,4.7,2.1,2.2,10.5,11.1,1.4,5.4
38,1983-03-01,3.6,2.7,1.7,4.7,-1.5,2.6,-9.2,4.7,1.7,1.8,10.1,10.5,1.4,5.3
39,1983-04-01,3.9,2.8,2.0,4.7,3.6,2.2,0.2,4.3,3.3,1.9,9.6,9.8,0.5,6.3
40,1983-05-01,3.5,2.5,1.4,4.5,4.8,3.1,2.9,3.6,2.2,2.5,8.8,9.3,0.3,5.0
41,1983-06-01,2.6,1.4,0.1,4.4,2.1,3.0,-1.5,2.9,2.5,2.5,8.2,8.9,0.9,4.5
42,1983-07-01,2.5,1.2,0.0,4.0,1.3,3.2,-2.7,3.0,3.0,2.8,8.9,8.4,1.1,4.6
43,1983-08-01,2.6,1.7,0.6,3.9,1.2,2.1,-2.2,3.0,3.3,2.9,10.6,8.1,0.7,4.8
44,1983-09-01,2.9,1.7,0.6,4.0,1.2,2.9,-1.8,3.5,2.1,2.8,12.9,7.5,1.3,3.8
45,1983-10-01,2.9,2.0,1.0,4.2,0.0,3.8,-2.1,3.7,1.8,2.6,14.3,7.1,0.1,3.4
46,1983-11-01,3.3,2.2,1.1,4.3,-0.6,4.2,-2.5,4.3,2.9,2.7,14.6,6.6,2.0,4.1
47,1983-12-01,3.8,2.7,1.8,4.1,-0.5,3.2,-1.6,4.8,2.7,2.9,14.4,6.4,2.6,3.8
48,1984-01-01,4.2,3.9,3.9,4.1,0.5,4.3,-0.4,4.8,2.7,2.8,14.9,6.2,3.5,5.7
49,1984-02-01,4.6,4.6,4.7,4.3,3.3,4.4,2.6,4.8,1.3,2.1,15.6,6.3,1.8,6.3
50,1984-03-01,4.8,4.0,4.0,4.2,4.5,4.6,5.8,5.0,1.2,2.1,17.2,6.3,1.4,6.5
51,1984-04-01,4.6,3.5,3.3,4.0,2.8,6.0,1.8,5.0,0.5,1.9,18.4,6.3,4.1,4.7
52,1984-05-01,4.2,3.0,2.4,4.3,1.1,5.7,-1.1,5.2,1.8,1.4,19.2,6.4,3.6,6.0
53,1984-06-01,4.2,3.4,3.0,4.3,0.3,6.3,-2.9,5.1,1.5,0.9,18.4,6.3,2.6,6.7
54,1984-07-01,4.2,3.8,3.5,4.6,-0.4,8.0,-5.0,5.0,0.7,0.8,16.2,6.4,2.7,7.2
55,1984-08-01,4.3,4.3,4.2,4.6,-0.6,9.9,-6.1,5.1,1.6,1.4,13.9,6.0,3.1,7.1
