,Month,Average weekly earnings of all employees,12-month percent change in average weekly earnings of all employees,"Real average weekly earnings of all employees, 1982-1984 dollars",12-month percent change in real average weekly earnings of all employees
0,2011-01-01,781.47,2.3,353.31,0.6
1,2011-02-01,784.44,3.4,353.51,1.2
2,2011-03-01,784.44,2.8,351.69,0.1
3,2011-04-01,788.45,2.8,351.84,-0.3
4,2011-05-01,788.56,2.6,350.77,-0.8
5,2011-06-01,789.24,2.7,351.08,-0.7
6,2011-07-01,794.64,2.9,352.55,-0.7
7,2011-08-01,791.3,2.3,349.97,-1.4
8,2011-09-01,794.98,2.2,350.83,-1.5
9,2011-10-01,798.08,2.3,351.96,-1.2
10,2011-11-01,797.39,2.6,351.01,-0.8
11,2011-12-01,798.42,2.3,351.38,-0.8
12,2012-01-01,801.78,2.6,351.9,-0.4
13,2012-02-01,802.82,2.3,351.61,-0.5
14,2012-03-01,803.58,2.4,351.2,-0.1
15,2012-04-01,806.96,2.3,352.1,0.1
16,2012-05-01,804.62,2.0,351.8,0.3
17,2012-06-01,807.02,2.3,353.14,0.6
18,2012-07-01,808.74,1.8,353.8,0.4
19,2012-08-01,808.06,2.1,351.46,0.4
20,2012-09-01,810.81,2.0,350.98,0.0
21,2012-10-01,810.46,1.6,349.88,-0.6
22,2012-11-01,812.87,1.9,351.51,0.1
23,2012-12-01,818.69,2.5,354.07,0.8
24,2013-01-01,817.34,1.9,352.79,0.3
25,2013-02-01,820.07,2.1,352.06,0.1
26,2013-03-01,821.45,2.2,353.64,0.7
27,2013-04-01,821.13,1.8,354.25,0.6
28,2013-05-01,824.21,2.4,355.43,1.0
29,2013-06-01,826.97,2.5,355.77,0.7
30,2013-07-01,824.91,2.0,354.19,0.1
31,2013-08-01,829.04,2.6,355.12,1.0
32,2013-09-01,827.66,2.1,354.39,1.0
33,2013-10-01,828.7,2.3,354.65,1.4
34,2013-11-01,833.52,2.5,356.05,1.3
35,2013-12-01,831.45,1.6,354.23,0.0
36,2014-01-01,832.82,1.9,353.96,0.3
37,2014-02-01,834.18,1.7,354.15,0.6
38,2014-03-01,838.7,2.1,355.34,0.5
39,2014-04-01,839.73,2.3,355.11,0.2
40,2014-05-01,841.8,2.1,355.31,0.0
41,2014-06-01,843.53,2.0,355.57,-0.1
42,2014-07-01,844.56,2.4,355.61,0.4
43,2014-08-01,849.78,2.5,357.86,0.8
44,2014-09-01,847.32,2.4,356.8,0.7
45,2014-10-01,850.47,2.6,358.2,1.0
46,2014-11-01,852.89,2.3,359.9,1.1
47,2014-12-01,852.89,2.6,361.01,1.9
48,2015-01-01,853.19,2.4,363.45,2.7
49,2015-02-01,857.39,2.8,364.32,2.9
50,2015-03-01,856.98,2.2,363.16,2.2
51,2015-04-01,858.71,2.3,363.52,2.4
52,2015-05-01,861.12,2.3,363.34,2.3
53,2015-06-01,861.81,2.2,362.63,2.0
54,2015-07-01,862.85,2.2,362.49,1.9
55,2015-08-01,865.95,1.9,363.79,1.7
56,2015-09-01,866.3,2.2,364.76,2.2
57,2015-10-01,871.92,2.5,366.76,2.4
58,2015-11-01,870.78,2.1,365.85,1.7
59,2015-12-01,871.82,2.2,366.68,1.6
60,2016-01-01,877.46,2.8,369.22,1.6
61,2016-02-01,873.42,1.9,368.01,1.0
62,2016-03-01,875.48,2.2,367.73,1.3
63,2016-04-01,878.23,2.3,367.47,1.1
64,2016-05-01,879.61,2.1,367.18,1.1
65,2016-06-01,881.67,2.3,367.02,1.2
66,2016-07-01,883.74,2.4,368.07,1.5
67,2016-08-01,882.2,1.9,366.75,0.8
68,2016-09-01,886.49,2.3,367.57,0.8
69,2016-10-01,890.27,2.1,368.27,0.4
70,2016-11-01,891.3,2.4,368.27,0.7
71,2016-12-01,892.34,2.4,367.77,0.3
72,2017-01-01,895.09,2.0,367.41,-0.5
73,2017-02-01,894.54,2.4,366.81,-0.3
74,2017-03-01,895.23,2.3,367.25,-0.1
75,2017-04-01,900.59,2.5,368.68,0.3
76,2017-05-01,899.35,2.2,368.48,0.4
77,2017-06-01,903.69,2.5,370.03,0.8
78,2017-07-01,906.78,2.6,371.21,0.9
79,2017-08-01,907.47,2.9,370.09,0.9
80,2017-09-01,911.6,2.8,369.74,0.6
