,Crime_x,Drama_x,Thriller_x,Animation_x,Action_x,Horror_x,Documentary_x,Musical_x,All items_x,Food_x,Food at home_x,Energy_x,Gasoline (all types)_x,Public transportation_x,Average weekly earnings of all employees_x
Crime_y,1.0,0.0,0.1529,0.0667,0.2536,0.204,0.0,0.0,0.0046,0.2436,0.3557,0.0021,0.0054,0.0654,0.0
Drama_y,0.0025,1.0,0.1851,0.1375,0.1257,0.0,0.0,0.0207,0.0,0.0043,0.0031,0.0,0.0,0.0133,0.01
Thriller_y,0.0002,0.0,1.0,0.0001,0.0,0.0018,0.0124,0.0047,0.0031,0.0006,0.0005,0.0,0.0001,0.0191,0.0025
Animation_y,0.0002,0.0049,0.0008,1.0,0.0,0.0056,0.4123,0.0013,0.4563,0.0405,0.0782,0.4656,0.5262,0.2978,0.0
Action_y,0.0028,0.0,0.0029,0.0,1.0,0.0006,0.0,0.026,0.0376,0.5194,0.2645,0.4786,0.3348,0.0793,0.1829
Horror_y,0.0,0.0092,0.0036,0.0057,0.0018,1.0,0.0007,0.0,0.0002,0.0631,0.031,0.0018,0.0028,0.0002,0.0035
Documentary_y,0.0022,0.0074,0.0758,0.037,0.0001,0.0008,1.0,0.8037,0.0004,0.6712,0.7842,0.078,0.0388,0.1446,0.1721
Musical_y,0.1005,0.0928,0.0424,0.0015,0.012,0.4611,0.0,1.0,0.0017,0.3552,0.2065,0.001,0.0025,0.0003,0.0047
All items_y,0.0074,0.6076,0.2995,0.6694,0.492,0.0226,0.009,0.6917,1.0,0.087,0.0266,0.4233,0.2001,0.0,0.0
Food_y,0.0018,0.0047,0.0217,0.2381,0.2386,0.0027,0.0,0.0193,0.0003,1.0,0.0105,0.0001,0.0001,0.1525,0.0006
Food at home_y,0.0002,0.002,0.0244,0.3677,0.4428,0.0006,0.0011,0.0285,0.0,0.0431,1.0,0.0001,0.0001,0.2454,0.0037
Energy_y,0.0052,0.3713,0.3674,0.5885,0.5769,0.0816,0.0229,0.2107,0.4543,0.0127,0.0027,1.0,0.0,0.0,0.0
Gasoline (all types)_y,0.0005,0.1332,0.499,0.7959,0.6003,0.1017,0.0063,0.2068,0.1353,0.0062,0.0018,0.0,1.0,0.0,0.0
Public transportation_y,0.0026,0.1162,0.0608,0.0594,0.019,0.0001,0.0269,0.0111,0.0767,0.5952,0.3853,0.1248,0.0433,1.0,0.0004
Average weekly earnings of all employees_y,0.0361,0.0087,0.2778,0.0219,0.0435,0.2644,0.3166,0.0957,0.0343,0.0,0.0195,0.0016,0.0032,0.0264,1.0
