,date,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Month_x,All items,Food,Food at home,Food away from home,Energy,Electricity,Gasoline (all types),All items less food and energy,Furniture and bedding,Apparel,Used cars and trucks,Medical care,Sporting goods,Public transportation,Month_y,Average weekly earnings of all employees,12-month percent change in average weekly earnings of all employees,"Real average weekly earnings of all employees, 1982-1984 dollars",12-month percent change in real average weekly earnings of all employees
0,2014-01-01,22,5,5,10,20,18,0,10,0,0,0,1,0,0,1,0,0,0,1,0,0,2014-01-01,1.6,1.1,0.5,2.0,2.1,4.4,0.1,1.6,-1.6,-0.3,1.5,2.1,-1.4,-2.4,2014-01-01,832.82,1.9,353.96,0.3
1,2014-02-01,26,20,20,0,7,6,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2014-02-01,1.1,1.4,0.9,2.2,-2.5,3.8,-8.1,1.6,-3.0,-0.6,0.6,2.3,-1.1,-1.8,2014-02-01,834.18,1.7,354.15,0.6
2,2014-03-01,28,13,2,1,2,1,0,16,0,0,1,0,0,0,12,0,0,0,6,0,0,2014-03-01,1.5,1.7,1.4,2.3,0.4,5.3,-4.7,1.7,-3.3,0.5,0.1,2.2,-0.9,-2.5,2014-03-01,838.7,2.1,355.34,0.5
3,2014-04-01,17,20,3,4,9,0,0,7,4,0,0,0,0,0,0,6,14,0,0,0,0,2014-04-01,2.0,1.9,1.7,2.2,3.3,2.1,2.4,1.8,-2.6,0.6,0.2,2.4,-0.4,0.1,2014-04-01,839.73,2.3,355.11,0.2
4,2014-05-01,23,23,0,0,8,0,0,0,2,0,0,0,0,0,0,1,21,0,0,0,0,2014-05-01,2.1,2.5,2.7,2.2,3.3,3.6,2.3,2.0,-2.5,0.8,0.2,2.8,-1.9,3.1,2014-05-01,841.8,2.1,355.31,0.0
5,2014-06-01,24,14,3,0,11,10,0,5,7,0,0,0,0,0,0,6,4,0,0,0,0,2014-06-01,2.1,2.3,2.4,2.2,3.2,4.2,2.0,1.9,-2.5,0.9,0.1,2.6,-1.3,3.5,2014-06-01,843.53,2.0,355.57,-0.1
6,2014-07-01,31,24,0,0,0,0,0,13,0,0,0,1,0,0,0,0,17,0,7,0,0,2014-07-01,2.0,2.5,2.7,2.4,2.6,4.0,0.8,1.9,-3.1,0.3,0.2,2.6,-2.2,0.0,2014-07-01,844.56,2.4,355.61,0.4
7,2014-08-01,30,29,0,0,30,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2014-08-01,1.7,2.7,2.9,2.5,0.4,4.1,-2.8,1.7,-3.6,0.0,0.0,2.1,-1.7,-1.7,2014-08-01,849.78,2.5,357.86,0.8
8,2014-09-01,30,11,0,0,11,12,0,7,0,0,0,0,0,0,7,0,7,0,5,0,0,2014-09-01,1.7,3.0,3.2,2.7,-0.6,2.8,-3.6,1.7,-3.5,0.5,-0.4,2.0,-0.4,-2.2,2014-09-01,847.32,2.4,356.8,0.7
9,2014-10-01,22,0,0,0,0,13,0,29,0,1,0,5,0,0,17,0,0,0,22,8,0,2014-10-01,1.7,3.1,3.3,2.8,-1.6,3.1,-5.0,1.8,-2.7,0.7,-1.7,2.1,-0.8,-1.8,2014-10-01,850.47,2.6,358.2,1.0
10,2014-11-01,17,25,6,0,1,3,0,13,0,0,0,1,0,0,1,0,19,0,3,1,0,2014-11-01,1.3,3.2,3.4,2.9,-4.8,2.8,-10.5,1.7,-2.2,-0.3,-3.1,2.5,-2.0,-2.4,2014-11-01,852.89,2.3,359.9,1.1
11,2014-12-01,16,25,0,1,0,0,0,6,0,19,0,0,0,0,0,0,11,1,0,0,0,2014-12-01,0.8,3.4,3.7,3.0,-10.6,3.1,-21.0,1.6,-1.6,-2.0,-4.2,3.0,-2.2,-2.9,2014-12-01,852.89,2.6,361.01,1.9
12,2015-01-01,23,8,0,16,0,0,0,16,0,8,0,0,0,0,0,0,0,0,7,0,0,2015-01-01,-0.1,3.2,3.3,3.1,-19.6,2.5,-35.4,1.6,-2.2,-1.4,-4.0,2.6,-1.9,-1.8,2015-01-01,853.19,2.4,363.45,2.7
