,date,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
0,2014-01-01,22,5,5,10,20,18,0,10,0,0,0,1,0,0,1,0,0,0,1,0,0
1,2014-02-01,26,20,20,0,7,6,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
2,2014-03-01,28,13,2,1,2,1,0,16,0,0,1,0,0,0,12,0,0,0,6,0,0
3,2014-04-01,17,20,3,4,9,0,0,7,4,0,0,0,0,0,0,6,14,0,0,0,0
4,2014-05-01,23,23,0,0,8,0,0,0,2,0,0,0,0,0,0,1,21,0,0,0,0
5,2014-06-01,24,14,3,0,11,10,0,5,7,0,0,0,0,0,0,6,4,0,0,0,0
6,2014-07-01,31,24,0,0,0,0,0,13,0,0,0,1,0,0,0,0,17,0,7,0,0
7,2014-08-01,30,29,0,0,30,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
8,2014-09-01,30,11,0,0,11,12,0,7,0,0,0,0,0,0,7,0,7,0,5,0,0
9,2014-10-01,22,0,0,0,0,13,0,29,0,1,0,5,0,0,17,0,0,0,22,8,0
10,2014-11-01,17,25,6,0,1,3,0,13,0,0,0,1,0,0,1,0,19,0,3,1,0
11,2014-12-01,16,25,0,1,0,0,0,6,0,19,0,0,0,0,0,0,11,1,0,0,0
12,2015-01-01,23,8,0,16,0,0,0,16,0,8,0,0,0,0,0,0,0,0,7,0,0
13,2015-02-01,14,8,8,6,2,2,0,20,0,0,0,0,0,0,0,12,0,0,12,0,0
14,2015-03-01,13,12,5,0,11,11,0,19,7,7,0,0,0,0,0,0,7,0,0,0,0
15,2015-04-01,0,2,2,0,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0
16,2015-05-01,26,26,0,0,5,0,0,3,4,0,0,0,5,0,0,0,19,0,0,0,0
17,2015-06-01,23,22,5,0,12,6,0,3,0,0,0,1,0,0,1,0,14,0,1,0,0
18,2015-07-01,10,29,19,0,29,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
19,2015-08-01,13,13,0,17,0,0,0,18,0,0,17,0,0,0,0,0,1,0,12,0,0
20,2015-09-01,4,5,6,7,7,9,0,17,6,0,2,7,0,0,2,0,3,0,3,0,0
21,2015-10-01,0,29,1,0,5,0,0,25,5,0,0,0,0,0,0,0,25,0,0,0,0
22,2015-11-01,25,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,0,14,0,0
23,2015-12-01,29,30,1,3,2,0,0,1,0,1,0,0,0,0,0,0,26,0,0,0,0
24,2016-01-01,31,28,3,0,3,3,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0
25,2016-02-01,29,29,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016-03-01,11,31,20,0,23,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0
27,2016-04-01,9,25,0,0,5,0,0,16,16,0,0,0,0,0,0,0,9,0,0,0,0
28,2016-05-01,23,28,0,0,0,0,0,5,5,0,0,0,0,0,0,0,23,0,0,0,0
29,2016-06-01,9,23,14,0,21,0,0,0,0,0,0,7,0,0,7,0,2,0,7,0,0
30,2016-07-01,12,26,19,0,20,0,0,0,0,1,0,1,0,0,0,0,8,0,3,0,0
31,2016-08-01,24,21,1,0,1,6,0,0,0,20,0,6,0,0,0,0,0,0,10,0,0
32,2016-09-01,7,8,0,14,0,8,0,15,1,0,0,8,0,0,0,0,0,0,8,0,7
33,2016-10-01,14,5,0,0,0,15,0,20,4,0,2,0,0,0,7,0,0,0,4,0,0
34,2016-11-01,17,30,8,0,8,3,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0
35,2016-12-01,16,27,11,0,15,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
36,2017-01-01,7,7,0,12,0,0,0,12,0,0,12,12,0,0,0,0,7,0,12,0,0
37,2017-02-01,8,1,8,1,9,0,1,8,0,0,1,12,0,0,6,5,0,0,11,0,0
38,2017-03-01,14,8,1,0,1,0,0,7,14,21,0,2,14,14,2,0,7,0,2,0,0
39,2017-04-01,17,26,9,0,9,17,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0
40,2017-05-01,30,29,0,0,20,5,0,0,0,6,0,1,0,0,0,0,1,0,1,0,0
41,2017-06-01,24,28,6,0,6,2,0,2,0,15,0,0,0,0,0,0,7,0,0,0,0
42,2017-07-01,24,21,7,0,7,0,0,14,0,0,10,0,0,0,0,0,10,0,0,0,0
43,2017-08-01,24,1,0,0,14,14,0,9,0,1,9,7,0,0,7,0,0,0,7,0,0
44,2017-09-01,15,7,0,1,15,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
45,2017-10-01,16,1,0,4,12,0,0,18,0,0,0,15,0,0,19,0,0,0,3,0,0
46,2017-11-01,19,28,9,0,16,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0
47,2017-12-01,17,31,14,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0
48,2018-01-01,27,24,0,0,18,1,0,6,0,0,2,1,0,0,1,0,6,0,4,0,0
49,2018-02-01,20,21,0,1,6,0,0,7,1,1,0,0,0,0,0,6,15,0,6,0,0
50,2018-03-01,30,31,0,0,0,0,0,0,1,2,0,0,0,0,0,0,29,0,0,0,0
51,2018-04-01,14,14,0,0,1,1,0,15,0,0,0,15,0,0,1,0,29,0,0,0,0
52,2018-05-01,31,31,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
53,2018-06-01,30,23,7,0,7,7,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
54,2018-07-01,19,24,8,0,19,2,0,0,0,0,0,0,5,5,0,5,4,0,7,0,0
55,2018-08-01,14,9,0,0,17,0,0,17,0,0,0,5,0,0,0,17,5,0,9,0,0
56,2018-09-01,6,7,1,0,17,1,0,7,7,7,0,7,0,0,7,6,6,0,7,0,0
57,2018-10-01,9,9,0,0,4,13,0,5,0,0,0,13,5,0,0,5,9,0,13,0,0
58,2018-11-01,0,14,16,7,16,1,0,8,12,5,0,1,7,0,0,0,0,1,1,0,0
59,2018-12-01,16,24,17,0,14,0,0,1,6,13,0,0,0,0,0,0,0,1,0,0,0
60,2019-01-01,12,12,2,0,5,0,0,19,0,10,0,0,0,0,0,0,14,0,14,0,0
61,2019-02-01,20,20,13,0,2,0,0,7,0,1,0,0,0,0,0,1,13,0,6,0,0
62,2019-03-01,20,23,6,0,1,0,0,0,3,3,0,7,0,0,7,0,14,0,7,0,0
63,2019-04-01,20,24,0,0,14,0,0,5,4,4,0,6,0,0,6,0,1,0,6,0,0
64,2019-05-01,24,24,0,0,1,7,0,15,7,8,0,0,0,0,0,0,0,0,7,0,0
65,2019-06-01,3,30,21,0,24,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
66,2019-07-01,17,31,14,0,1,0,0,13,0,0,0,0,0,0,0,0,17,0,0,0,0
67,2019-08-01,20,22,3,0,7,0,0,3,0,0,0,1,0,0,1,0,0,0,20,0,0
68,2019-09-01,5,3,3,0,8,5,0,22,0,9,0,9,0,0,0,8,0,0,5,0,0
