,title,genre
42535,On the Road,"Adventure, Drama, Romance"
43351,I sogni segreti di Walter Mitty,"Comedy, Drama, Fantasy"
43614,La preda perfetta,"Action, Crime, Drama"
43822,Jurassic World,"Action, Adventure, Sci-Fi"
44111,The Rum Diary - Cronache di una passione,"Comedy, Drama"
44206,Gnomeo & Giulietta,"Animation, Adventure, Comedy"
44487,I tre marmittoni,"Comedy, Family"
44619,Motherless Brooklyn - I segreti di una cittÃ ,"Crime, Drama, Mystery"
45218,John Carter,"Action, Adventure, Sci-Fi"
45524,Cowboys & Aliens,"Action, Sci-Fi, Thriller"
46491,The Possession,"Horror, Mystery, Thriller"
46571,Real Steel,"Action, Drama, Sci-Fi"
46658,The Giver - Il mondo di Jonas,"Drama, Romance, Sci-Fi"
46723,Alita - Angelo della battaglia,"Action, Adventure, Sci-Fi"
46930,Lincoln,"Biography, Drama, History"
47132,Shazam!,"Action, Adventure, Comedy"
47159,Il gatto con gli stivali,"Animation, Adventure, Comedy"
47292,Wonder Woman,"Action, Adventure, Fantasy"
47409,42 - La vera storia di una leggenda americana,"Biography, Drama, Sport"
47448,Vita di Pi,"Adventure, Drama, Fantasy"
47505,The Equalizer - Il vendicatore,"Action, Crime, Thriller"
47642,Captain America - Il primo Vendicatore,"Action, Adventure, Sci-Fi"
47647,Non buttiamoci giÃ¹,"Comedy, Drama"
47651,Sin City - Una donna per cui uccidere,"Action, Crime, Thriller"
48032,Margaret,Drama
48195,Ex Machina,"Drama, Sci-Fi, Thriller"
48221,Tower Heist - Colpo ad alto livello,"Action, Comedy, Crime"
48264,I Puffi,"Animation, Adventure, Comedy"
48272,Professione assassino,"Action, Thriller"
48382,"Ave, Cesare!","Comedy, Drama, Music"
48483,"Molto forte, incredibilmente vicino","Adventure, Drama, Mystery"
48545,The Tree of Life,"Drama, Fantasy"
48577,Ant-Man,"Action, Adventure, Comedy"
48641,L'ultimo dei Templari,"Action, Adventure, Fantasy"
48652,Atlas Shrugged: Part I,"Drama, Mystery, Sci-Fi"
48672,Libera uscita,"Comedy, Romance"
48704,I Croods,"Animation, Action, Adventure"
48882,Red Tails,"Action, Drama, History"
49075,Silence,"Drama, History"
