year,month,top_release,genre,top_gross,top_10_gross_total,releases,total_top_days
2014,Apr,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",169455209,391303381,46.642857142857146,14
2014,Apr,Heaven Is for Real,"Biography, Drama, Family",14406229,61947948,48.25,4
2014,Apr,Noah,"Action, Adventure, Drama",8515307,26109474,43.0,3
2014,Apr,Rio 2,"Animation, Adventure, Comedy",26533097,89796834,47.666666666666664,3
2014,Apr,The Other Woman,"Comedy, Romance",31278335,119587235,48.833333333333336,6
2014,Aug,Guardians of the Galaxy,"Action, Adventure, Comedy",178779019,461275648,54.1578947368421,19
2014,Aug,If I Stay,"Drama, Fantasy, Music",6827007,31656738,50.0,1
2014,Aug,Let's Be Cops,"Action, Comedy, Crime",5205858,21110555,53.0,1
2014,Aug,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",116169434,369777662,54.4,10
2014,Dec,Exodus: Gods and Kings,"Action, Drama, Fantasy",28297853,87069122,44.4,5
2014,Dec,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",176419308,515434066,45.714285714285715,14
2014,Dec,The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi",38517345,116461737,47.54545454545455,11
2014,Dec,Unbroken,"Biography, Drama, Sport",15434400,70818446,49.0,1
2014,Feb,About Last Night,"Comedy, Romance",12871109,56447069,48.0,1
2014,Feb,Frozen,"Animation, Adventure, Comedy",2119450,10701780,45.0,1
2014,Feb,Non-Stop,"Action, Mystery, Thriller",10057535,31810831,53.0,1
2014,Feb,Ride Along,"Action, Comedy, Crime",9485870,53357349,45.0,5
2014,Feb,RoboCop,"Action, Crime, Sci-Fi",2808698,8476707,50.0,1
2014,Feb,The Lego Movie,"Animation, Action, Adventure",173325186,426962833,49.421052631578945,19
2014,Jan,Frozen,"Animation, Adventure, Comedy",28575637,159891223,46.6,5
2014,Jan,Lone Survivor,"Action, Biography, Drama",50428560,151081382,41.142857142857146,7
2014,Jan,Paranormal Activity: The Marked Ones,"Horror, Mystery, Thriller",8722144,42939384,45.0,1
2014,Jan,Ride Along,"Action, Comedy, Crime",84673785,345494937,42.333333333333336,15
2014,Jan,The Wolf of Wall Street,"Biography, Crime, Drama",5068111,30690896,45.0,3
2014,Jul,Dawn of the Planet of the Apes,"Action, Adventure, Drama",145267862,346839321,43.46153846153846,13
2014,Jul,Lucy,"Action, Sci-Fi, Thriller",61287385,192734597,51.0,7
2014,Jul,The Purge: Anarchy,"Action, Adventure, Horror",13006545,45048634,45.0,1
2014,Jul,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",81988634,255619325,43.0,10
2014,Jun,22 Jump Street,"Action, Comedy, Crime",95489889,337825759,45.9,10
2014,Jun,How to Train Your Dragon 2,"Animation, Action, Adventure",20354892,78462485,45.333333333333336,3
2014,Jun,Maleficent,"Action, Adventure, Family",67937262,196788787,43.285714285714285,7
2014,Jun,The Fault in Our Stars,"Drama, Romance",44034790,126380255,44.8,5
2014,Jun,Think Like a Man Too,"Comedy, Romance",12180056,46829984,45.0,1
2014,Jun,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",110542664,192389001,43.75,4
2014,Mar,300: Rise of an Empire,"Action, Drama",65886774,200036131,49.36363636363637,11
2014,Mar,Divergent,"Action, Adventure, Mystery",68760008,170823150,47.714285714285715,7
2014,Mar,Mr. Peabody & Sherman,"Animation, Adventure, Comedy",16354688,68609582,52.5,2
2014,Mar,Need for Speed,"Action, Crime, Thriller",6662415,30495947,52.0,1
2014,Mar,Noah,"Action, Adventure, Drama",46825854,133691873,46.0,4
2014,Mar,Non-Stop,"Action, Mystery, Thriller",20269640,74236295,51.0,5
2014,Mar,Son of God,"Biography, Drama, History",6797385,26664927,54.0,1
2014,May,Godzilla,"Action, Adventure, Sci-Fi",117348367,216442291,44.285714285714285,7
2014,May,Maleficent,"Action, Adventure, Family",50048100,114282122,44.0,2
2014,May,Neighbors,Comedy,65525205,161147477,46.285714285714285,7
2014,May,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi",110700722,176023096,47.142857142857146,7
2014,May,The Other Woman,"Comedy, Romance",1867137,6013774,49.0,1
2014,May,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",129469103,256416763,46.0,7
2014,Nov,Big Hero 6,"Animation, Action, Adventure",77594322,209279903,52.4,5
2014,Nov,Fury,"Action, Crime, Drama",820269,5875057,52.0,1
2014,Nov,Fury,"Action, Drama, War",820269,5875057,52.0,1
2014,Nov,Interstellar,"Adventure, Drama, Sci-Fi",38943476,111158508,51.888888888888886,9
2014,Nov,Nightcrawler,"Crime, Drama, Thriller",2186280,14572554,51.0,2
2014,Nov,Ouija,"Horror, Mystery, Thriller",5000775,36887533,53.0,1
2014,Nov,The Book of Life,"Animation, Adventure, Comedy",2965994,20430279,53.0,1
2014,Nov,The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi",225680904,435969406,48.1,10
2014,Oct,Annabelle,"Horror, Mystery, Thriller",15453016,46405985,58.0,1
2014,Oct,Dracula Untold,"Action, Drama, Fantasy",8920830,42818136,61.0,1
2014,Oct,Fury,"Action, Crime, Drama",34157911,157092015,53.875,8
2014,Oct,Fury,"Action, Drama, War",34157911,157092015,53.875,8
2014,Oct,Gone Girl,"Drama, Mystery, Thriller",67951106,265722276,57.416666666666664,12
2014,Oct,John Wick,"Action, Crime, Thriller",4066927,22597320,50.666666666666664,3
2014,Oct,Ouija,"Horror, Mystery, Thriller",23312615,114624795,52.5,4
2014,Oct,The Equalizer,"Action, Crime, Thriller",4746785,11577504,55.5,2
2014,Sep,Guardians of the Galaxy,"Action, Adventure, Comedy",22505302,103418340,51.27272727272727,11
2014,Sep,No Good Deed,"Action, Crime, Drama",29908052,91875055,54.57142857142857,7
2014,Sep,The Equalizer,"Action, Crime, Thriller",40739831,110988676,55.2,5
2014,Sep,The Maze Runner,"Action, Mystery, Sci-Fi",40518327,114782765,55.42857142857143,7
2015,Apr,Home,"Animation, Adventure, Comedy",7914903,23097544,43.0,2
2015,Apr,The Age of Adaline,"Drama, Fantasy, Romance",5795794,28051866,53.5,2
2015,Aug,Fantastic Four,"Action, Adventure, Sci-Fi",11282868,37877853,43.0,1
2015,Aug,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",92665003,294345450,42.25,12
2015,Aug,Straight Outta Compton,"Biography, Drama, History",131490425,358242853,43.64705882352941,17
2015,Aug,War Room,Drama,4048820,18808621,46.0,1
2015,Dec,In the Heart of the Sea,"Action, Adventure, Biography",6265237,32194031,46.666666666666664,3
2015,Dec,Krampus,"Comedy, Drama, Fantasy",6021050,25784262,46.0,1
2015,Dec,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",651967269,978015716,46.714285714285715,14
2015,Dec,The Good Dinosaur,"Animation, Adventure, Comedy",3160217,18189664,46.0,1
2015,Dec,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",33362186,152423167,45.25,12
2015,Feb,American Sniper,"Action, Biography, Drama",16060234,44938624,52.833333333333336,6
2015,Feb,Fifty Shades of Grey,"Drama, Romance, Thriller",123770785,342063008,47.666666666666664,12
2015,Feb,Focus,"Comedy, Crime, Drama",14086249,66796050,46.5,2
2015,Feb,The SpongeBob Movie: Sponge Out of Water,"Animation, Action, Adventure",75581710,212726918,50.5,8
2015,Jan,American Sniper,"Action, Biography, Drama",240083387,502496412,50.5,16
2015,Jan,Taken 3,"Action, Thriller",48786917,135151427,48.42857142857143,7
2015,Jan,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",37533161,205293386,47.125,8
2015,Jul,Ant-Man,"Action, Adventure, Comedy",69409555,263249703,38.857142857142854,7
2015,Jul,Inside Out,"Animation, Adventure, Comedy",49984824,204610942,39.142857142857146,7
2015,Jul,Jurassic World,"Action, Adventure, Sci-Fi",8539045,35192188,39.0,1
2015,Jul,Magic Mike XXL,"Comedy, Drama, Music",9306397,38080373,42.0,1
2015,Jul,Minions,"Animation, Adventure, Comedy",207507680,447863183,39.5,12
2015,Jul,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",20301126,44551346,42.0,1
2015,Jul,Pixels,"Action, Comedy, Fantasy",9110510,46763122,39.0,1
2015,Jul,Vacation,"Adventure, Comedy",3821231,19329783,42.0,1
2015,Jun,Entourage,Comedy,5372395,16131089,42.0,1
2015,Jun,Inside Out,"Animation, Adventure, Comedy",74434583,198454989,39.2,5
